file,monitor,region_id,status,start_datetime,stop_datetime,Sex,Genotype,Temperature,Treatment,Environment,Light
Monitor50.txt,M50,32,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor17.txt,M17,1,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,2,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,3,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,4,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,5,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,6,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,7,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,8,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,9,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,10,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,11,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,12,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,13,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,14,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,15,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,16,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,17,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,18,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,19,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,20,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
