file,monitor,region_id,status,start_datetime,stop_datetime,sex,genotype,temp,treatment
Monitor46.txt,M46,3,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_2 12:12,21.5C,SIP_S1_2 12:12
Monitor46.txt,M46,4,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_2 12:12,21.5C,SIP_S1_2 12:12
Monitor46.txt,M46,5,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_2 12:12,21.5C,SIP_S1_2 12:12
Monitor46.txt,M46,6,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_2 12:12,21.5C,SIP_S1_2 12:12
Monitor46.txt,M46,7,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_2 12:12,21.5C,SIP_S1_2 12:12
Monitor46.txt,M46,8,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_2 12:12,21.5C,SIP_S1_2 12:12
Monitor46.txt,M46,9,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_2 12:12,21.5C,SIP_S1_2 12:12
Monitor46.txt,M46,10,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_2 12:12,21.5C,SIP_S1_2 12:12
Monitor46.txt,M46,11,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_2 12:12,21.5C,SIP_S1_2 12:12
Monitor46.txt,M46,12,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_2 12:12,21.5C,SIP_S1_2 12:12
Monitor46.txt,M46,13,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_2 12:12,21.5C,SIP_S1_2 12:12
Monitor46.txt,M46,14,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_2 12:12,21.5C,SIP_S1_2 12:12
Monitor46.txt,M46,15,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_2 12:12,21.5C,SIP_S1_2 12:12
